EEID,First Name,Last Name,Gender,Age,Job Title,Department,Business Unit,Ethnicity,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E02183,Sarah,Ayala,Female,47,Analyst,Sales,Corporate,Latino,09/06/2015,"$41,429 ",0% ,United States,Seattle,
E00715,Elijah,Kang,Male,35,Vice President,Engineering,Manufacturing,Asian,10/10/2011,"$245,482 ",39% ,United States,Seattle,
E04288,Ella,White,Female,25,Development Engineer,Engineering,Manufacturing,Caucasian,20/01/2020,"$71,359 ",0% ,United States,Phoenix,
E02421,Jordan,Truong,Male,45,Director,Engineering,Speciality Products,Asian,28/08/2014,"$183,161 ",22% ,United States,Miami,
E00523,Daniel,Jordan,Male,58,Network Administrator,IT,Corporate,Caucasian,26/07/1993,"$69,260 ",0% ,United States,Phoenix,
E03615,Daniel,Dixon,Male,51,Operations Engineer,Engineering,Speciality Products,Caucasian,09/10/1999,"$95,639 ",0% ,United States,Austin,
E02761,Luca,Duong,Male,48,Manager,Human Resources,Research & Development,Asian,30/06/2004,"$120,660 ",7% ,China,Chengdu,
E02121,Levi,Brown,Male,36,Sr. Analyst,Sales,Corporate,Black,26/12/2021,"$75,119 ",0% ,United States,Chicago,
E01486,Mason,Cho,Male,59,Vice President,Accounting,Research & Development,Asian,18/05/2011,"$192,213 ",40% ,United States,Chicago,
E00725,Nova,Herrera,Female,45,Account Representative,Sales,Speciality Products,Latino,10/05/2014,"$65,047 ",0% ,Brazil,Sao Paulo,
E03027,Elijah,Watson,Male,29,Sr. Manger,Sales,Manufacturing,Caucasian,16/03/2017,"$151,413 ",15% ,United States,Seattle,
E03689,Wesley,Gray,Male,62,Sr. Analyst,Accounting,Speciality Products,Caucasian,22/04/2003,"$76,906 ",0% ,United States,Seattle,
E01986,Wesley,Sharma,Male,51,Manager,IT,Corporate,Asian,23/02/1994,"$122,802 ",5% ,China,Shanghai,
E01286,Mateo,Mendez,Male,47,Development Engineer,Engineering,Research & Development,Latino,14/07/1998,"$99,091 ",0% ,United States,Austin,
E01409,Jose,Molina,Male,40,Controls Engineer,Engineering,Manufacturing,Latino,28/02/2008,"$113,987 ",0% ,Brazil,Manaus,
E00626,Luna,Simmons,Female,28,Sr. Analyst,Finance,Corporate,Caucasian,04/09/2020,"$95,045 ",0% ,United States,Chicago,
E04342,Samantha,Barnes,Female,29,Vice President,Marketing,Speciality Products,Caucasian,05/01/2017,"$190,401 ",37% ,United States,Columbus,
E03904,Hunter,Ortiz,Male,46,Sr. Analyst,Finance,Corporate,Latino,20/01/2013,"$86,061 ",0% ,Brazil,Rio de Janerio,
E01291,Thomas,Aguilar,Male,45,Sr. Account Representative,Sales,Speciality Products,Latino,10/02/2021,"$79,882 ",0% ,United States,Phoenix,
E00917,Skylar,Bell,Female,30,Vice President,Engineering,Manufacturing,Caucasian,06/03/2018,"$255,431 ",36% ,United States,Columbus,
E01484,Anna,Zhu,Female,48,Service Desk Analyst,IT,Manufacturing,Asian,22/08/2003,"$82,017 ",0% ,China,Beijing,
E03864,Ella,Hunter,Female,51,Analyst,Finance,Manufacturing,Caucasian,18/01/2017,"$53,799 ",0% ,United States,Columbus,
E00488,Emery,Hunter,Female,28,Sr. Analyst,Sales,Corporate,Caucasian,03/07/2021,"$82,739 ",0% ,United States,Phoenix,
E02227,Sofia,Parker,Female,36,Cloud Infrastructure Architect,IT,Manufacturing,Caucasian,30/05/2014,"$99,080 ",0% ,United States,Chicago,
E04802,Lucy,Fong,Female,40,Sr. Account Representative,Sales,Corporate,Asian,20/01/2011,"$96,719 ",0% ,China,Chengdu,
E01970,Vivian,Barnes,Female,51,Director,Human Resources,Research & Development,Caucasian,28/03/2021,"$180,687 ",19% ,United States,Phoenix,
E02813,Kai,Chow,Male,45,Engineering Manager,Engineering,Corporate,Asian,12/04/2001,"$95,743 ",15% ,United States,Austin,15/01/2010
E02031,Melody,Cooper,Female,44,Development Engineer,Engineering,Research & Development,Caucasian,04/09/2009,"$89,695 ",0% ,United States,Austin,
E03252,James,Bui,Male,64,Manager,Finance,Manufacturing,Asian,20/07/1998,"$122,753 ",9% ,China,Chongqing,
E04871,Liam,Grant,Male,30,Sr. Business Partner,Human Resources,Research & Development,Caucasian,15/03/2015,"$93,734 ",0% ,United States,Phoenix,
E03547,Owen,Han,Male,28,Analyst,Accounting,Corporate,Asian,12/05/2017,"$52,069 ",0% ,China,Chongqing,
E04742,Kinsley,Vega,Female,33,Vice President,Accounting,Corporate,Latino,16/12/2020,"$258,426 ",40% ,Brazil,Rio de Janerio,
E01070,Leonardo,Martin,Male,51,Manager,Finance,Speciality Products,Black,16/02/1995,"$125,375 ",9% ,United States,Chicago,
E04359,Greyson,Lam,Male,25,Vice President,Accounting,Manufacturing,Asian,08/02/2021,"$198,243 ",31% ,United States,Miami,
E03268,Emilia,Rivera,Female,42,Test Engineer,Engineering,Research & Development,Latino,23/11/2017,"$96,023 ",0% ,United States,Miami,
E04035,Penelope,Johnson,Female,34,Sr. Analyst,Marketing,Research & Development,Caucasian,25/06/2012,"$83,066 ",0% ,United States,Chicago,05/06/2013
E01221,Eva,Figueroa,Female,48,Analyst II,Sales,Research & Development,Latino,14/05/2014,"$61,216 ",0% ,United States,Seattle,
E00276,Ezekiel,Jordan,Male,33,Sr. Manger,Accounting,Corporate,Caucasian,10/02/2013,"$144,231 ",14% ,United States,Columbus,17/07/2020
E01687,Luke,Mai,Male,41,HRIS Analyst,Human Resources,Research & Development,Asian,24/10/2007,"$51,630 ",0% ,China,Beijing,
E02844,Charles,Diaz,Male,55,Sr. Manger,Sales,Corporate,Latino,16/11/2013,"$124,129 ",15% ,Brazil,Sao Paulo,
E01263,Adam,Espinoza,Male,36,Test Engineer,Engineering,Manufacturing,Latino,09/04/2009,"$60,055 ",0% ,United States,Seattle,
E00119,Jack,Maldonado,Male,31,Director,Engineering,Research & Development,Latino,26/08/2020,"$189,290 ",22% ,Brazil,Sao Paulo,25/09/2020
E03935,Cora,Jiang,Female,53,Vice President,IT,Corporate,Asian,30/04/2008,"$182,202 ",30% ,United States,Austin,
E00742,Cooper,Mitchell,Male,43,Manager,Sales,Speciality Products,Caucasian,31/01/2006,"$117,518 ",7% ,United States,Seattle,
E02810,Layla,Torres,Female,37,Sr. Manger,Finance,Manufacturing,Latino,24/02/2013,"$157,474 ",11% ,Brazil,Rio de Janerio,
E01860,Jack,Edwards,Male,38,Manager,Marketing,Manufacturing,Caucasian,06/04/2008,"$126,856 ",6% ,United States,Columbus,
E04890,Eleanor,Chan,Female,49,Sr. Manger,Accounting,Manufacturing,Asian,02/04/2001,"$129,124 ",12% ,China,Shanghai,
E02285,Aria,Xi,Female,45,Director,Sales,Research & Development,Asian,01/03/2002,"$165,181 ",16% ,United States,Seattle,
E00842,John,Vega,Male,50,Vice President,Finance,Corporate,Latino,18/01/2004,"$247,939 ",35% ,Brazil,Rio de Janerio,
E01271,Luke,Munoz,Male,64,Director,Engineering,Speciality Products,Latino,25/08/2017,"$169,509 ",18% ,Brazil,Manaus,
E01921,Sarah,Daniels,Female,55,Sr. Manger,Accounting,Manufacturing,Caucasian,09/01/2011,"$138,521 ",10% ,United States,Miami,
E03664,Aria,Castro,Female,45,Engineering Manager,Engineering,Speciality Products,Latino,14/03/2014,"$113,873 ",11% ,Brazil,Rio de Janerio,
E00813,Autumn,Joseph,Female,39,Enterprise Architect,IT,Corporate,Black,09/05/2018,"$73,317 ",0% ,United States,Miami,
E00870,Evelyn,Liang,Female,40,Service Desk Analyst,IT,Speciality Products,Asian,26/06/2013,"$69,096 ",0% ,United States,Seattle,
E04167,Henry,Alvarez,Male,48,Sr. Business Partner,Human Resources,Manufacturing,Latino,12/04/2005,"$87,158 ",0% ,Brazil,Manaus,
E00245,Benjamin,Delgado,Male,64,Test Engineer,Engineering,Corporate,Latino,28/09/1992,"$70,778 ",0% ,United States,Austin,
E00976,Zoe,Rodriguez,Female,65,Director,Human Resources,Speciality Products,Latino,23/05/2004,"$153,938 ",20% ,United States,Phoenix,
E04112,Axel,Chu,Male,43,Systems Analyst,IT,Research & Development,Asian,04/05/2018,"$59,888 ",0% ,China,Beijing,
E01807,Cameron,Evans,Male,50,Test Engineer,Engineering,Corporate,Caucasian,13/12/2018,"$63,098 ",0% ,United States,Columbus,
E04103,Isabella,Soto,Female,27,Vice President,Finance,Corporate,Latino,15/12/2021,"$255,369 ",33% ,Brazil,Sao Paulo,
E01412,Eva,Jenkins,Female,55,Sr. Manger,Human Resources,Manufacturing,Black,10/11/2004,"$142,318 ",14% ,United States,Chicago,
E04386,Cameron,Powell,Male,41,Business Partner,Human Resources,Manufacturing,Black,20/08/2004,"$49,186 ",0% ,United States,Austin,17/06/2008
E01232,Samantha,Foster,Female,34,Vice President,Human Resources,Research & Development,Black,27/07/2019,"$220,937 ",38% ,United States,Austin,
E04572,Jade,Li,Female,47,Director,IT,Speciality Products,Asian,26/10/2012,"$183,156 ",30% ,United States,Seattle,
E02747,Kinsley,Acosta,Female,32,Vice President,IT,Speciality Products,Latino,22/07/2020,"$192,749 ",31% ,United States,Chicago,
E01064,Clara,Kang,Female,39,Sr. Manger,IT,Manufacturing,Asian,25/03/2017,"$135,325 ",14% ,United States,Phoenix,
E00178,Harper,Alexander,Female,26,Sr. Analyst,Sales,Speciality Products,Caucasian,14/10/2019,"$79,356 ",0% ,United States,Phoenix,
E01091,Carter,Reed,Male,40,Development Engineer,Engineering,Manufacturing,Black,07/07/2005,"$74,412 ",0% ,United States,Seattle,
E01525,Charlotte,Ruiz,Female,32,Computer Systems Manager,IT,Manufacturing,Latino,02/10/2017,"$61,886 ",9% ,Brazil,Rio de Janerio,
E01309,Everleigh,Jiang,Female,58,Director,Accounting,Research & Development,Asian,14/05/2003,"$173,071 ",29% ,United States,Columbus,
E02378,Audrey,Smith,Female,58,Field Engineer,Engineering,Research & Development,Caucasian,27/10/1995,"$70,189 ",0% ,United States,Columbus,
E04127,Emery,Acosta,Female,42,Vice President,Sales,Research & Development,Latino,11/09/2013,"$181,452 ",30% ,United States,Columbus,
E02072,Charles,Robinson,Male,26,HRIS Analyst,Human Resources,Speciality Products,Caucasian,12/03/2021,"$70,369 ",0% ,United States,Seattle,
E02555,Landon,Lopez,Male,38,Sr. Analyst,Accounting,Manufacturing,Latino,05/07/2008,"$78,056 ",0% ,Brazil,Sao Paulo,
E00187,Miles,Mehta,Male,64,Director,Finance,Research & Development,Asian,02/05/1996,"$189,933 ",23% ,United States,Miami,
E04332,Ezra,Simmons,Male,38,Automation Engineer,Engineering,Speciality Products,Caucasian,01/07/2010,"$78,237 ",0% ,United States,Phoenix,
E02062,Nora,Santiago,Female,55,Analyst,Accounting,Research & Development,Latino,26/06/1996,"$48,687 ",0% ,Brazil,Rio de Janerio,
E00034,Caroline,Herrera,Female,45,Sr. Manger,Marketing,Manufacturing,Latino,19/08/2004,"$121,065 ",15% ,Brazil,Rio de Janerio,
E00273,David,Owens,Male,43,Sr. Analyst,Sales,Corporate,Black,16/04/2004,"$94,246 ",0% ,United States,Austin,
E00691,Avery,Yee,Female,34,Systems Analyst,IT,Manufacturing,Asian,22/05/2016,"$44,614 ",0% ,United States,Miami,
E01403,Xavier,Park,Male,40,Vice President,IT,Research & Development,Asian,08/11/2020,"$234,469 ",31% ,China,Chengdu,
E03438,Asher,Morales,Male,52,Automation Engineer,Engineering,Research & Development,Latino,10/07/2020,"$88,272 ",0% ,Brazil,Sao Paulo,
E04136,Mason,Cao,Male,52,Analyst II,Finance,Corporate,Asian,14/09/2017,"$74,449 ",0% ,China,Beijing,
E02944,Joshua,Fong,Male,47,Vice President,Engineering,Speciality Products,Asian,11/06/2012,"$222,941 ",39% ,China,Beijing,
E03300,Maria,Chin,Female,65,Analyst,Marketing,Manufacturing,Asian,26/09/2013,"$50,341 ",0% ,China,Beijing,
E00078,Eva,Garcia,Female,31,HRIS Analyst,Human Resources,Corporate,Latino,11/04/2021,"$72,235 ",0% ,Brazil,Manaus,
E00825,Anna,Molina,Female,41,Sr. Analyst,Accounting,Corporate,Latino,12/06/2016,"$70,165 ",0% ,United States,Columbus,
E04972,Logan,Bryant,Male,30,Sr. Manger,Marketing,Speciality Products,Caucasian,18/07/2020,"$148,485 ",15% ,United States,Miami,
E03941,Isla,Han,Female,58,Technical Architect,IT,Manufacturing,Asian,18/06/2005,"$86,089 ",0% ,United States,Chicago,
E02148,Christopher,Vega,Male,54,Engineering Manager,Engineering,Research & Development,Latino,27/10/2007,"$106,313 ",15% ,United States,Chicago,
E02252,Lillian,Park,Female,40,Analyst,Marketing,Research & Development,Asian,24/02/2021,"$46,833 ",0% ,China,Chengdu,10/11/2021
E03096,Kennedy,Zhang,Female,63,Director,Finance,Research & Development,Asian,27/10/2000,"$155,320 ",17% ,China,Chongqing,
E04800,Eli,Han,Male,40,Sr. Analyst,Accounting,Manufacturing,Asian,15/01/2016,"$89,984 ",0% ,China,Chengdu,
E02838,Julia,Pham,Female,65,Engineering Manager,Engineering,Speciality Products,Asian,16/03/2006,"$83,756 ",14% ,China,Shanghai,
E02980,Hailey,Shin,Female,57,Director,Human Resources,Corporate,Asian,24/10/2016,"$176,324 ",23% ,China,Shanghai,
E04477,Connor,Grant,Male,27,Sr. Analyst,Accounting,Speciality Products,Caucasian,13/10/2021,"$74,077 ",0% ,United States,Seattle,
E04348,Natalia,Owens,Female,31,Manager,Human Resources,Manufacturing,Caucasian,18/01/2021,"$104,162 ",7% ,United States,Austin,
E01638,Maria,He,Female,45,IT Systems Architect,IT,Corporate,Asian,28/08/2010,"$82,162 ",0% ,China,Beijing,03/10/2020
E03419,Jade,Yi,Female,47,Account Representative,Sales,Speciality Products,Asian,10/07/2015,"$63,880 ",0% ,China,Chongqing,
E04222,Quinn,Xiong,Female,55,Test Engineer,Engineering,Research & Development,Asian,08/09/2013,"$73,248 ",0% ,United States,Columbus,
E04126,Dominic,Baker,Male,51,Sr. Analyst,Accounting,Manufacturing,Black,09/10/2020,"$91,853 ",0% ,United States,Chicago,
E01896,Adam,Nelson,Male,25,Director,Finance,Speciality Products,Caucasian,14/01/2020,"$168,014 ",27% ,United States,Chicago,27/07/2021
E03018,Autumn,Reed,Female,37,Development Engineer,Engineering,Corporate,Caucasian,17/09/2017,"$70,770 ",0% ,United States,Miami,
E03325,Robert,Edwards,Male,62,HRIS Analyst,Human Resources,Corporate,Caucasian,11/10/2004,"$50,825 ",0% ,United States,Seattle,
E04037,Roman,Martinez,Male,31,Sr. Manger,Finance,Research & Development,Latino,19/09/2015,"$145,846 ",15% ,Brazil,Manaus,
E01902,Eleanor,Li,Female,64,Sr. Manger,Human Resources,Research & Development,Asian,07/12/2003,"$125,807 ",15% ,United States,Chicago,
E01466,Connor,Vang,Male,25,Analyst,Sales,Speciality Products,Asian,28/07/2021,"$46,845 ",0% ,United States,Miami,
E02038,Ellie,Chung,Female,59,Sr. Manger,Marketing,Corporate,Asian,29/08/2008,"$157,969 ",10% ,China,Chongqing,
E03474,Violet,Hall,Female,40,Solutions Architect,IT,Corporate,Caucasian,10/12/2010,"$97,807 ",0% ,United States,Chicago,
E02744,Dylan,Padilla,Male,31,HRIS Analyst,Human Resources,Manufacturing,Latino,09/12/2015,"$73,854 ",0% ,United States,Seattle,
E00702,Nathan,Pham,Male,45,Sr. Manger,Accounting,Manufacturing,Asian,12/12/2006,"$149,537 ",14% ,United States,Seattle,
E03081,Ayla,Brown,Female,49,Sr. Manger,Sales,Manufacturing,Caucasian,15/04/2013,"$128,303 ",15% ,United States,Phoenix,
E01281,Isaac,Mitchell,Male,46,Network Architect,IT,Speciality Products,Black,10/06/2005,"$67,374 ",0% ,United States,Austin,
E04029,Jayden,Jimenez,Male,46,Manager,Human Resources,Corporate,Latino,24/09/2011,"$102,167 ",6% ,Brazil,Rio de Janerio,
E01116,Jaxon,Tran,Male,45,Sr. Manger,Sales,Manufacturing,Asian,07/09/2007,"$151,027 ",10% ,China,Shanghai,
E01753,Connor,Fong,Male,40,Manager,Accounting,Speciality Products,Asian,16/02/2018,"$120,905 ",5% ,United States,Seattle,
E04072,Emery,Mitchell,Female,48,Vice President,Finance,Manufacturing,Caucasian,02/06/2018,"$231,567 ",36% ,United States,Seattle,
E00672,Landon,Luu,Male,31,Vice President,IT,Research & Development,Asian,12/07/2015,"$215,388 ",33% ,United States,Miami,
E04419,Sophia,Ahmed,Female,30,Sr. Manger,Sales,Speciality Products,Asian,13/06/2015,"$127,972 ",11% ,United States,Seattle,
E00467,Sofia,Dinh,Female,55,Operations Engineer,Engineering,Corporate,Asian,04/08/1995,"$80,701 ",0% ,United States,Chicago,14/04/2005
E00365,Jonathan,Patel,Male,28,Manager,Marketing,Corporate,Asian,02/02/2020,"$115,417 ",6% ,China,Shanghai,
E00306,Piper,Patterson,Female,45,Quality Engineer,Engineering,Corporate,Caucasian,19/06/2019,"$88,045 ",0% ,United States,Chicago,
E03292,Cora,Evans,Female,45,Computer Systems Manager,IT,Speciality Products,Black,26/03/2018,"$86,478 ",6% ,United States,Austin,
E04779,Cameron,Young,Male,63,Vice President,Engineering,Manufacturing,Caucasian,18/01/2016,"$180,994 ",39% ,United States,Seattle,
E00501,Melody,Ho,Female,55,Analyst II,Finance,Research & Development,Asian,02/12/2007,"$64,494 ",0% ,United States,Columbus,
E01132,Aiden,Bryant,Male,47,Account Representative,Sales,Manufacturing,Black,21/10/2002,"$70,122 ",0% ,United States,Columbus,
E00556,Grayson,Walker,Male,29,Director,Accounting,Manufacturing,Caucasian,19/02/2017,"$181,854 ",29% ,United States,Seattle,24/04/2020
E00311,Scarlett,Figueroa,Female,34,Business Partner,Human Resources,Speciality Products,Latino,21/10/2016,"$52,811 ",0% ,United States,Miami,
E04567,Madeline,Hoang,Female,28,Systems Analyst,IT,Research & Development,Asian,25/10/2019,"$50,111 ",0% ,China,Chengdu,
E04378,Ezra,Simmons,Male,31,Network Administrator,IT,Manufacturing,Black,07/05/2016,"$71,192 ",0% ,United States,Austin,
E03251,Ruby,Medina,Female,50,Director,Sales,Manufacturing,Latino,18/12/2018,"$155,351 ",20% ,United States,Seattle,
E03167,Luke,Zheng,Male,39,Director,Human Resources,Speciality Products,Asian,28/11/2006,"$161,690 ",29% ,China,Beijing,
E03347,Rylee,Dinh,Female,35,Development Engineer,Engineering,Speciality Products,Asian,10/02/2017,"$60,132 ",0% ,China,Chongqing,
E03908,Miles,Evans,Male,54,Network Architect,IT,Manufacturing,Caucasian,24/10/1994,"$87,216 ",0% ,United States,Miami,
E01351,Leo,Owens,Male,47,Systems Analyst,IT,Corporate,Caucasian,23/04/2020,"$50,069 ",0% ,United States,Seattle,
E02681,Caroline,Owens,Female,26,Director,IT,Speciality Products,Caucasian,26/07/2021,"$151,108 ",22% ,United States,Phoenix,
E03807,Kennedy,Do,Female,42,Computer Systems Manager,IT,Manufacturing,Asian,15/10/2005,"$67,398 ",7% ,United States,Phoenix,
E00422,Jade,Acosta,Female,47,Development Engineer,Engineering,Research & Development,Latino,29/08/2015,"$68,488 ",0% ,United States,Seattle,
E00265,Mila,Vasquez,Female,60,Quality Engineer,Engineering,Manufacturing,Latino,16/07/1998,"$92,932 ",0% ,United States,Columbus,
E04601,Allison,Ayala,Female,36,Analyst,Finance,Corporate,Latino,30/06/2009,"$43,363 ",0% ,United States,Austin,
E04816,Jace,Zhang,Male,31,Service Desk Analyst,IT,Speciality Products,Asian,14/02/2017,"$95,963 ",0% ,China,Chengdu,
E02147,Allison,Medina,Female,55,Manager,Finance,Speciality Products,Latino,29/04/2010,"$111,038 ",5% ,Brazil,Sao Paulo,
E02914,Maria,Wilson,Female,51,Vice President,Engineering,Research & Development,Caucasian,14/06/1996,"$200,246 ",34% ,United States,Columbus,
E03268,Everly,Coleman,Female,48,Vice President,IT,Corporate,Caucasian,18/02/2015,"$194,871 ",35% ,United States,Columbus,
E03972,Jordan,Gomez,Male,58,Sr. Analyst,Accounting,Research & Development,Latino,15/09/1994,"$98,769 ",0% ,Brazil,Rio de Janerio,03/10/2016
E02189,Isla,Chavez,Female,29,Account Representative,Sales,Research & Development,Latino,19/05/2018,"$65,334 ",0% ,Brazil,Rio de Janerio,
E04290,Hannah,Gomez,Female,25,Technical Architect,IT,Manufacturing,Latino,11/05/2021,"$83,934 ",0% ,United States,Miami,
E03630,Jacob,Davis,Male,36,Director,Accounting,Research & Development,Caucasian,03/09/2016,"$150,399 ",28% ,United States,Chicago,
E00432,Eli,Gupta,Male,37,Director,Human Resources,Research & Development,Asian,19/05/2012,"$160,280 ",19% ,China,Beijing,
E03045,Andrew,Huynh,Male,57,Business Partner,Human Resources,Speciality Products,Asian,28/04/1997,"$54,051 ",0% ,United States,Miami,11/10/1998
E01924,Anna,Gutierrez,Female,59,Director,Engineering,Research & Development,Latino,15/04/2003,"$150,699 ",29% ,Brazil,Sao Paulo,
E04877,Samuel,Vega,Male,37,Analyst II,Marketing,Speciality Products,Latino,30/03/2013,"$69,570 ",0% ,United States,Miami,
E02770,Liliana,Do,Female,30,Service Desk Analyst,IT,Manufacturing,Asian,29/03/2019,"$86,774 ",0% ,China,Chengdu,
E04590,Isaac,Sanders,Male,49,HRIS Analyst,Human Resources,Manufacturing,Caucasian,29/03/2001,"$57,606 ",0% ,United States,Miami,
E01977,Raelynn,Gupta,Female,48,Sr. Manger,Finance,Corporate,Asian,10/09/2001,"$125,730 ",11% ,China,Chongqing,
E01378,Genesis,Xiong,Female,51,System Administrator ,IT,Research & Development,Asian,25/02/2012,"$64,170 ",0% ,United States,Columbus,
E04224,Lucas,Ramos,Male,56,Sr. Business Partner,Human Resources,Speciality Products,Latino,21/01/1998,"$72,303 ",0% ,United States,Phoenix,
E03423,Santiago,f Gonzalez,Male,36,Manager,Sales,Research & Development,Latino,26/07/2012,"$105,891 ",7% ,United States,Seattle,
E01584,Henry,Zhu,Male,38,Vice President,Marketing,Speciality Products,Asian,25/08/2021,"$255,230 ",36% ,United States,Austin,
E00788,Emily,Contreras,Female,56,Analyst II,Sales,Manufacturing,Latino,15/06/1992,"$59,591 ",0% ,Brazil,Sao Paulo,
E00207,Hailey,Lai,Female,52,Vice President,Human Resources,Manufacturing,Asian,23/07/2012,"$187,048 ",32% ,China,Chengdu,
E00834,Vivian,Guzman,Female,53,Analyst II,Finance,Speciality Products,Latino,09/02/2002,"$58,605 ",0% ,United States,Phoenix,
E04571,Hadley,Contreras,Female,60,Director,Engineering,Corporate,Latino,04/01/2017,"$178,502 ",20% ,United States,Austin,
E02652,Nathan,Sun,Male,63,Manager,Accounting,Speciality Products,Asian,29/07/2015,"$103,724 ",5% ,China,Shanghai,
E02693,Grace,Campos,Female,37,Director,Engineering,Research & Development,Latino,21/03/2008,"$156,277 ",22% ,Brazil,Manaus,
E03359,Autumn,Ortiz,Female,30,Field Engineer,Engineering,Research & Development,Latino,17/12/2017,"$87,744 ",0% ,Brazil,Sao Paulo,
E00399,Connor,Walker,Male,30,Analyst II,Finance,Manufacturing,Caucasian,18/03/2019,"$54,714 ",0% ,United States,Columbus,
E02971,Mia,Wu,Female,45,Enterprise Architect,IT,Corporate,Asian,25/08/2013,"$99,169 ",0% ,China,Beijing,
E03327,Julia,Luong,Female,55,Sr. Manger,Accounting,Research & Development,Asian,20/06/2006,"$142,628 ",12% ,China,Chongqing,
E00900,Eleanor,Delgado,Female,33,Sr. Analyst,Marketing,Manufacturing,Latino,27/04/2014,"$75,869 ",0% ,Brazil,Sao Paulo,
E00836,Addison,Roberts,Female,65,Network Architect,IT,Manufacturing,Caucasian,14/05/2018,"$60,985 ",0% ,United States,Seattle,
E03854,Camila,Li,Female,60,Sr. Manger,IT,Research & Development,Asian,24/07/2010,"$126,911 ",10% ,China,Shanghai,
E04729,Ezekiel,Fong,Male,56,Vice President,Sales,Research & Development,Asian,25/02/2004,"$216,949 ",32% ,China,Shanghai,
E00360,Dylan,Thao,Male,53,Director,Engineering,Manufacturing,Asian,22/10/2012,"$168,510 ",29% ,United States,Seattle,
E02284,Josephine,Salazar,Female,36,Field Engineer,Engineering,Speciality Products,Latino,14/03/2016,"$85,870 ",0% ,Brazil,Sao Paulo,
E00181,Genesis,Hu,Female,46,Sr. Analyst,Marketing,Corporate,Asian,15/01/2002,"$86,510 ",0% ,China,Beijing,02/01/2003
E04168,Mila,Juarez,Female,38,Manager,Sales,Speciality Products,Latino,21/09/2017,"$119,647 ",9% ,Brazil,Sao Paulo,
E02861,Daniel,Perry,Male,62,Enterprise Architect,IT,Research & Development,Caucasian,15/04/2001,"$80,921 ",0% ,United States,Columbus,
E01357,Paisley,Hunter,Female,61,Engineering Manager,Engineering,Research & Development,Caucasian,15/01/2010,"$98,110 ",13% ,United States,Chicago,
E04387,Everleigh,White,Female,59,Network Architect,IT,Speciality Products,Caucasian,20/10/2017,"$86,831 ",0% ,United States,Phoenix,
E03090,Penelope,Choi,Female,49,Technical Architect,IT,Speciality Products,Asian,10/09/2010,"$72,826 ",0% ,China,Beijing,
E03591,Piper,Sun,Female,64,Director,Marketing,Manufacturing,Asian,14/02/2011,"$171,217 ",19% ,United States,Seattle,
E03328,Lucy,Johnson,Female,57,Manager,IT,Research & Development,Caucasian,27/04/2020,"$103,058 ",7% ,United States,Columbus,
E04937,Ian,Ngo,Male,52,Manager,Sales,Speciality Products,Asian,07/08/2014,"$117,062 ",7% ,United States,Phoenix,
E00515,Joseph,Vazquez,Male,40,Sr. Manger,Accounting,Speciality Products,Latino,23/01/2019,"$159,031 ",10% ,United States,Miami,
E01241,Hadley,Guerrero,Female,49,Sr. Manger,IT,Research & Development,Latino,14/01/2004,"$125,086 ",10% ,Brazil,Sao Paulo,
E03255,Jose,Brown,Male,43,System Administrator ,IT,Speciality Products,Caucasian,07/04/2016,"$67,976 ",0% ,United States,Seattle,
E01711,Benjamin,Ford,Male,31,Analyst II,Finance,Speciality Products,Caucasian,22/04/2021,"$74,215 ",0% ,United States,Phoenix,
E00500,Henry,Shah,Male,55,Director,Accounting,Manufacturing,Asian,11/06/2010,"$187,389 ",25% ,China,Chengdu,
E04972,Ivy,Daniels,Female,41,Sr. Manger,Human Resources,Speciality Products,Caucasian,26/10/2008,"$131,841 ",13% ,United States,Columbus,
E02728,Thomas,Chang,Male,34,Sr. Analyst,Accounting,Research & Development,Asian,26/07/2011,"$97,231 ",0% ,China,Beijing,
E04749,Caroline,Phan,Female,41,Sr. Manger,Finance,Corporate,Asian,14/03/2004,"$155,004 ",12% ,United States,Austin,
E02023,Maverick,Mehta,Male,40,Systems Analyst,IT,Manufacturing,Asian,30/07/2007,"$41,859 ",0% ,United States,Seattle,
E03166,Austin,Edwards,Male,42,IT Coordinator,IT,Manufacturing,Black,24/09/2006,"$52,733 ",0% ,United States,Chicago,
E02599,Daniel,Huang,Male,31,Vice President,Human Resources,Corporate,Asian,03/09/2015,"$250,953 ",34% ,United States,Columbus,
E01014,Lucas,Phan,Male,49,Director,Marketing,Research & Development,Asian,19/02/1999,"$191,807 ",21% ,China,Chongqing,
E04529,Gabriel,Yu,Male,42,Technical Architect,IT,Speciality Products,Asian,23/06/2014,"$64,677 ",0% ,China,Chongqing,
E00085,Mason,Watson,Male,46,Sr. Manger,IT,Corporate,Caucasian,14/09/2004,"$130,274 ",11% ,United States,Chicago,
E00632,Angel,Chang,Male,37,Network Architect,IT,Research & Development,Asian,06/07/2017,"$96,331 ",0% ,China,Shanghai,
E02108,Madeline,Coleman,Female,51,Sr. Manger,Finance,Research & Development,Caucasian,28/04/2006,"$150,758 ",13% ,United States,Chicago,16/08/2007
E03802,Thomas,Vazquez,Male,46,Director,Engineering,Corporate,Latino,19/07/2014,"$173,629 ",21% ,Brazil,Sao Paulo,
E03685,Silas,Hunter,Male,55,Solutions Architect,IT,Corporate,Black,04/05/1998,"$62,174 ",0% ,United States,Chicago,
